"date","token_address","wallet_address","sol_drained","tx_hash_buy","tx_hash_sell","victim_wallet_address","victim_amount_in","victim_tx_hash","slot","timestamp","source","lp"
"2025-03-11","4taJ4B67sp5Tbe5CaizkVVubS39xqaMRA4TCLYZNpump","GTLQsSq2NJTet2Jd3KzdNjqL89DAoX6N6quPYRXemzG2","47880280","dVaxUGs71E1z9qQFa7ZArrzWy9dJhcAmAVKGwFFG9Kywt2FygDE5DiQPG3jXCHFKgLrWLVfVXPNZbjMCagGnKBh","2GhBLX6neN7jhRW7EvunCAhRGAzNoApvaohwcun4hUXdzQy3MN8At84UoEa6mTWnbXzvRdKnk266B147FUacp2TK","9RqvgM4RgkF8fbTemnZZzmGvzCRWpCUnibXfcF74Vghp","500000000","gtwtcogpauDDrdYXiovyrUgd7VHTGQwUyHY7VB1bScypKUV1A8h4DGCu1ZZ36bbsgoLgRDcSL2TQ3qaa2YHyvCz","326107235","2025-03-11 18:59:59+00","raydium","5tYJTGNC5G24p6gatu3L5PDZRtrVWaMLqgRmPjz4Qk2Z"
"2025-03-11","4taJ4B67sp5Tbe5CaizkVVubS39xqaMRA4TCLYZNpump","4vJfp62jEzcYFnQ11oBJDgj6ZFrdEwcBBpoadNTpEWys","58112496","yhymyE92rUyMBSkPXXV1jyH8QEvDUBmamb1AzR43QYVVZZEpsByEZZXnYuxMCSFSHzD41s9uiersDFe5tEhvYgt","5FZfNx1XAqtFbapwGTTsLbinL2ff3ZBRwV1cLUP88FLtgHrasCNMSYxAEcQDBwGaAeqsrakfcziZKSeMGdwQaxx3","Gxw6tya98shNpGtjEovqTpKxs5TriKDvatG2HDmcQYzA","388482946","NxV9prNTFMvpYRVw8td6kLE4pHSMzJ8iGFNUW8KCx6aSxo4ksgzeEaxkKj4DwLPLJBNaVvThWLxB7kBCJR3g2TA","326107263","2025-03-11 19:00:10+00","raydium","5tYJTGNC5G24p6gatu3L5PDZRtrVWaMLqgRmPjz4Qk2Z"
"2025-03-11","8Azht4Gmh2ZeHBZDx8p9yfZNzHRe5q2jtvdTpzpapump","5BLagFdwZYEXMgyFbVWeEa6uVf1WRyxxmEf532K6jAKn","56152642","37zbccnYmBDWuTiRxzbM4XsH3v3BqS9UHvvNvoGwEiRELPbxLJtd9bQVuDAApZAJxp9DGeUiDDp5b1jhgWYx9Ac9","XqFMJZA4CqcwzWHL5VNddSpZAp3dvvguWLRtPQWzsX8oYBqo7JePCpwAdhkAXqEJTe9MLtoBjXgMyVSYbzMMqKn","449Ljo8qQbgW9hMBHR8oeBq7sVrvBZ5hoT8DTzTPa65t","991500000","2AxWvJ1jUDL5JNucwg8jkDdcCoRCGUaeCzZv6R4WydYfbYLdqJXq4wSdRNi4fJr2Z2sCCFn1aMQfGPb85vSiswd9","326107273","2025-03-11 19:00:14+00","raydium","AwVNdBSZ8bbmhAspF7ephpuHJQUt2qzcJ6Udm8ocxJki"
"2025-03-11","xSy6TKRwvUkYjWDmmVwwgDDbHjcy1oRwVrgwXRHpump","2iqM5EzSbWq9FZjTGiP3yzBiCp2UNJpcbwMwivVF8KLz","195313284","5ygLBmu6uyA36phJBsvhv58rngYzbpv8QBxtTxPLCzcYVLjgKaz4NJsXFCus43hdF7P62mpQ6JThnT8TDdqJvH32","2675GJja85bR3XcHffebueSJFoycbpdscW5XvwupCjm9opPJcEMxpFtxsqQaiGkCR4iF9kcPBw1SQYEWvEUYnJTn","Bz8He6TqWifNHY27koR7y2HHqY5Bm6oCMnzY2VTHvAoH","1386000000","5TkRwTCCfKZ3KrXt742DDdPVVcHSqkKptB1zeuCJRRZ6thfz5AcchYr3qQLFsMJ31nbwqM9E8XbGyS3uwkwPA6mJ","326107288","2025-03-11 19:00:21+00","raydium","BfFD2DxfM6sb3MMxThsCJAynUNE6CVVfYu534B7thBaW"
"2025-03-11","HwKE9CPg9Z9WzAeQSj6jeLBizK7LJs5m6LTVx6pLpump","6ubsNyEKuKM73c64LpLkvdokyvDM2UHFDoaPPGs5HuxT","129965313","xT149Wo9V3ZEr32WPXjATAWKWoW63KM2boAuEt2Ja29CyfoVaoWNwMwM6RCjRWQGPe6mW8QGb7KUm5icBVMMcFD","bRZaMVytsU2cNSpF6oxWn7U8pB1JPBXCiBpAdzJwa7hocDhx1B4VJKeRNt4tYx6LonzPqy9W7SQ1WRoh7JuroRT","2Qg4VTBjEsRNdbgunuiTVmZ8yYMzwS5tF8FgfabdDyvJ","36076666310","ZDDBCBpmNWgghQYLGeKEkfpUQ1Fa4A8nA7rcMZJdweR41jCSymnRcXWAYfJJnnoATGMNk5vcTKnrKRHuH9TLpbe","326107312","2025-03-11 19:00:30+00","raydium","DDSGy3CxioL4QPuj8kiPzxYg37PH4e7hdbD5E1iPmzu3"
"2025-03-11","82XZhairZh5jF1rBQsxGYXcri99cSS4xKpf7fV7Dpump","GHPCChGqtKf4sFaN1wPPCapcweKXBBngB3hF7D6nT29e","1156866","5s63GBy3m824RsKav9yMGa5C6C9P3bMRe8RUKeMAxAy7xkxecw3DAM4pGx2eBiC9iBzigTSCwMpQLg1HWN3FTvp4","61meaez4bgZ9QxL1mhw3Bq8w9529NGUc8X6n1eo9WrsLcRCM5fzfCANVGT2GwiP8rrP6U2Ay4C34siY5FztzM1Yz","BvKRKfpGtBZJGoHcnCemhBAd8YZCDQJKU3H64WEJWL5i","996000000","4wEWcDBXH3yBKEWkTMnJFnhCpfntAASvp6djM6QoPq4SP4ZDhVxVwLDAWE7EmZxMiQWB4gZkKMjNfytqYaSBWDDW","326107328","2025-03-11 19:00:36+00","raydium","GjdmjkzjGXsmyMCsFxPCx9GFusyyiRjSpozzN4kVXpU8"
"2025-03-11","ArjoCBSVe8ZZUHvFV4BNj5n97f5HDmYDmPgWzbtJpump","GHPCChGqtKf4sFaN1wPPCapcweKXBBngB3hF7D6nT29e","4308160","3AKjWCnGu9JDzr1CKn7tSPFBofFbniKe19bBXL7KZrYXMrD5BpuVAnnAUZCUYLrhmwpUPaQob3DVdfGvB1FC7nBC","61PkAshUqRSLojbt3uoKJ8qTq7VKjxQ52whSEW8rUChwTJ5Ufv4ZdbGGrNutKpFUrpFJg1aHZK9RwyjUHH7STHBX","AKEZTGVyLbTn6jsTCduB6SkmzpDfFzLGn9147Wi1B5jo","1000000000","4qW6aKZ4HVZr7wjSXCkthGsUGt2uGg258TaVkGB17xF11SuwwxWzWEGEgys7PxG6rUXmxnzK47ae4Dfkhvsn1eVh","326107330","2025-03-11 19:00:37+00","raydium","3sud5RrGvG8S1PLoyCtcmh7cDgwUtWfzgUK1CZf5B55i"
"2025-03-11","3kfoM7gu7jFt8rEHQhHDH2ZCAw9cYYjQ81BoD4NApump","GHPCChGqtKf4sFaN1wPPCapcweKXBBngB3hF7D6nT29e","138542245","5vDBAzkw5CTJsBHs4RBUCsMkdHF7dKKrDuHvVyTVePBhBkcJnRAJ9V26D2TQvwD11b8XBhNY36R2upy4jaobu3eW","3TynCf5cPpK7BYNGUA3QP5N2qCrem19F6oNhMfG3CrGnnXFBRP9ixuMdNoGEbVMgy8C3knDepT1vhZspxvPaTJ11","89i7bNQuotpdVjEW2Sdkf9RDN1BkFixUMP1yAF1QQcNn","1712663766","3hHxUB5bJrK7EcVSYS7jtZwajBUwx4SEZ3ynA81KJgPamhmSN6zv2UwFrA4nAZSX4ezHyz7Gk1uUvJs9KiztEPg2","326107340","2025-03-11 19:00:41+00","raydium","5avynhVHr89EhfyAKXPu6AsomDJh8CkA4TwRFkLPPtDy"
"2025-03-11","ySDVFEK1iLBjpyLVJnsFQrCUGXcbaRwqihr8iA3pump","GHPCChGqtKf4sFaN1wPPCapcweKXBBngB3hF7D6nT29e","1989389","3B6gCTiFYMAaeLPNQwXNRKHbor7SvZPNPnag46cW4bZpgZdnDahkfhJ3kCaXmkso9o9rynCnodCsbKVF3ZE6jg3L","65TAaCTtrqGzVTtjCXYZFMAXB8QHHKb635qtsZVJ64NER3KoSfnbXxvVmWri3VqLbUsKRcG2aBfDjthBGbSeApEc","8tCzet8Zfndb2dsS6D7Ba2RW1oJCr2djxcgxoBqVUmuK","500000000","3kJ5eJ2WU29Dwark9HbQCiXmd48TzoA72KmoLsonxbbpEQiQvjGBGPs5HmwmNJZMCmCNyLndLPqVhjwiUDrNviaC","326107340","2025-03-11 19:00:41+00","raydium","7Z9uiYcvPL4Y4zxpuaA3HzJ61PHBcoLZxvUdMZxwn2VA"
"2025-03-11","ySDVFEK1iLBjpyLVJnsFQrCUGXcbaRwqihr8iA3pump","GHPCChGqtKf4sFaN1wPPCapcweKXBBngB3hF7D6nT29e","22018507","4Dd6w8rqLDjD426wMRKK1ZNgqyQSnvEmagdR8WtiaVnpSUqerMQ27oV8F357eDsNn7FdN9rJ45YVKQ6FET6ExC9Y","WbiRwzRssDBMvN9v2pjrae7wJmbBSzLE7b2ibQfk6aUEfK1miApFP4hatAe4TRFLgQBBHAoQ4YhBgr52B1SP9Ne","AZUjCgapLtLSzFbnHJNFXuLFEGqyTRfVA5XZ9bkayfJ9","1000000000","2HnhyHby6xLUKKNwJwNWJJLzagG57RMo73HvJsronKkPNQTs32gNhBFC2KNMuayp8RB3qYL4Esg1MGanE8kie8CN","326107340","2025-03-11 19:00:41+00","raydium","7Z9uiYcvPL4Y4zxpuaA3HzJ61PHBcoLZxvUdMZxwn2VA"
